text,label
I hate you,1
You are disgusting,1
Nobody likes you,1
You should disappear,1
This is vile and hateful,1
You are so stupid,1
What a worthless person,1
Go away and never come back,1
You are a complete failure,1
Your words are trash,1
You are the worst,1
I cannot stand you,1
You are pathetic,1
That comment was toxic and cruel,1
You are annoying and useless,1
I despise everything about you,1
You are an idiot,1
Your behavior is hateful,1
Nobody wants you here,1
You make everything awful,1
Have a nice day,0
You did a great job,0
Thank you for your help,0
That was a kind message,0
I appreciate your support,0
You are very talented,0
Let us work together,0
I hope you have a good evening,0
You are a thoughtful person,0
This is a lovely idea,0
Wishing you success today,0
Your kindness means a lot,0
I enjoyed our conversation,0
You handled that well,0
Thanks for being respectful,0
You are welcome here,0
That was a helpful answer,0
I am glad we talked,0
You have a positive attitude,0
It was nice meeting you,0
I am happy,0
I am excited,0
I feel great today,0
I am doing well,0
I am calm and safe,0
I am proud of my work,0
I feel cheerful,0
I am thankful for today,0
I am okay,0
I am enjoying my day,0
You are ugly,1
You are worthless,1
You are disgusting,1
You should not exist,1
Your behavior is awful,1
I hate your behavior,1
You are a terrible person,1
Nobody respects you,1
You make people miserable,1
You are pure trash,1
I am feeling peaceful,0
I am having a good day,0
I like this idea,0
I feel confident,0
This is a helpful note,0
You are being rude,1
You are so annoying,1
I cannot stand your behavior,1
Your comments are hateful,1
You make everything worse,1
I am learning every day,0
I am grateful for this chance,0
You are incredibly mean,1
You have no respect,1
I am proud of my progress,0
This is a respectful conversation,0
